prediction_date,slot,predicted_numbers,actual_number,hit_rank,hit_count,accuracy,script_name,cross_script_hits,cross_date_hits,date,actual,predictions,rank,hit_top1,hit_top5,hit_top10,hit_top15
,GZBD,,,,,,,,,2025-11-16,68.0,"2,50,67,52,91,89,19,0,5,23,16,20,27,11,39",,False,False,False,False
,GALI,,,,,,,,,2025-11-16,46.0,"32,39,72,0,95,45,28,7,42,54,93,2,96,24,36",,False,False,False,False
,DSWR,,,,,,,,,2025-11-16,28.0,"7,51,68,37,96,89,4,54,69,25,55,48,70,15,0",,False,False,False,False
,FRBD,,,,,,,,,2025-11-17,52.0,"26,44,70,1,82",,False,False,False,False
,GZBD,,,,,,,,,2025-11-17,2.0,"2,50,67,52,91,89,19,0,5,23,16,20,11,39,7",1.0,True,True,True,True
,GALI,,,,,,,,,2025-11-17,14.0,"32,39,72,0,95,45,28,7,42,54,93,2,96,24,36",,False,False,False,False
,DSWR,,,,,,,,,2025-11-17,41.0,"7,37,68,51,96,89,4,54,69,25,48,70,15,0,52",,False,False,False,False
,FRBD,,,,,,,,,2025-11-18,68.0,"32,44,82,41,8,21,30,37,3,64,15,11,84,0,23",,False,False,False,False
,GZBD,,,,,,,,,2025-11-18,61.0,"20,50,67,2,52,89,0,5,23,16,19,11,39,75,99",,False,False,False,False
,GALI,,,,,,,,,2025-11-18,85.0,"14,42,85,28,32,72,0,20,54,2,39,41,46,40,96",3.0,False,True,True,True
,DSWR,,,,,,,,,2025-11-18,75.0,"0,37,68,51,96,70,89,54,69,25,52,48,99,20,15",,False,False,False,False
,FRBD,,,,,,,,,2025-11-19,46.0,"32,44,76,41,11,26,30,37,48,3,64,84,0,15,68",,False,False,False,False
,GZBD,,,,,,,,,2025-11-19,20.0,"20,50,67,19,2,35,89,0,16,5,23,11,61,39,52",1.0,True,True,True,True
,GALI,,,,,,,,,2025-11-19,14.0,"14,57,85,72,32,0,28,42,54,2",1.0,True,True,True,True
,DSWR,,,,,,,,,2025-11-19,60.0,"0,51,68,37,99,96,89,54,69,25,52,48,70,21,27",,False,False,False,False
,FRBD,,,,,,,,,2025-11-20,41.0,"32,44,76,41,11,64,26,37,3,46,84,0,15,30,68",4.0,False,True,True,True
,GZBD,,,,,,,,,2025-11-20,3.0,"20,50,67,19,2,89,35,16,5,23,0,11,61,39,91",,False,False,False,False
,GALI,,,,,,,,,2025-11-20,24.0,"14,57,72,85,32,0,28,42,41,54",,False,False,False,False
,DSWR,,,,,,,,,2025-11-20,24.0,"0,37,68,51,96,89,54,70,69,25,35,48,32,27,30",,False,False,False,False
,FRBD,,,,,,,,,2025-11-21,30.0,"26,44,98,41,64,30,37,3,15,46,8,36,14,0,11",6.0,False,False,True,True
,GZBD,,,,,,,,,2025-11-21,35.0,"20,50,79,2,67,89,5,24,52,23,33,19,35,0,16",13.0,False,False,False,True
,GALI,,,,,,,,,2025-11-21,11.0,"14,42,72,85,55,32,28,41,2,24",,False,False,False,False
,DSWR,,,,,,,,,2025-11-21,83.0,"0,51,68,37,96,70,54,69,25,52,89,48,27,30,11",,False,False,False,False
,FRBD,,,,,,,,,2025-11-22,31.0,"26,44,98,41,64,30,3,37,15,46,8,36,14,0,11",,False,False,False,False
,GZBD,,,,,,,,,2025-11-22,30.0,"20,50,79,2,67,89,5,24,52,35,23,33,19,0,11",,False,False,False,False
,GALI,,,,,,,,,2025-11-22,37.0,"14,42,72,85,55,32,28,41,2,24",,False,False,False,False
,DSWR,,,,,,,,,2025-11-22,68.0,"0,37,68,51,70,67,24,96,54,69,25,89,48,27,30",3.0,False,True,True,True
,FRBD,,,,,,,,,2025-11-23,75.0,"15,41,77,44,64,26,37,3,81,36,16,14,0,27,11",,False,False,False,False
,GZBD,,,,,,,,,2025-11-23,58.0,"20,50,79,60,2,89,16,5,7,23,19,70,0,11,39",,False,False,False,False
,GALI,,,,,,,,,2025-11-23,2.0,"14,42,85,55,28,7,41,32,64,11,54,79,39,16,37",,False,False,False,False
,DSWR,,,,,,,,,2025-11-23,34.0,"0,37,68,51,25,67,89,70,96,54,63,52,48,86,27",,False,False,False,False
,FRBD,,,,,,,,,2025-11-24,78.0,"17,41,71,15,3,44,27,64,52,26,37,36,16,0,5",,False,False,False,False
,GZBD,,,,,,,,,2025-11-24,79.0,"20,60,79,2,23,89,27,52,80,50",3.0,False,True,True,True
,GALI,,,,,,,,,2025-11-24,49.0,"14,49,85,42,7,28,32,41,11,54,16,94,20,39,37",2.0,False,True,True,True
,DSWR,,,,,,,,,2025-11-24,67.0,"0,37,68,51,67,89,71,70,96,60,54,25,48,26,27",5.0,False,True,True,True
,FRBD,,,,,,,,,2025-11-25,35.0,"17,41,71,15,44,3,27,64,52,26,37,36,16,0,5",,False,False,False,False
,GZBD,,,,,,,,,2025-11-25,60.0,"20,60,79,2,23,89,27,52,80,50",2.0,False,True,True,True
,GALI,,,,,,,,,2025-11-25,7.0,"14,39,85,42,7,28,32,62,41,54,16,20,26,37,94",5.0,False,True,True,True
,DSWR,,,,,,,,,2025-11-25,22.0,"0,37,67,68,51,27,71,34,70,96,60,54,25,89,48",,False,False,False,False
,FRBD,,,,,,,,,2025-11-26,15.0,"15,41,71,17,35,14,26,46,51,64,82,37,3,28,44",1.0,True,True,True,True
,GZBD,,,,,,,,,2025-11-26,23.0,"20,60,79,2,89,69,6,23,8,35",8.0,False,False,True,True
,GALI,,,,,,,,,2025-11-26,17.0,"14,35,72,7,28,85,32,42,40,54",,False,False,False,False
,DSWR,,,,,,,,,2025-11-26,6.0,"8,37,67,68,51,54,45,25,29,89,48,0,7,11,69",,False,False,False,False
,FRBD,,,,,,,,,2025-11-27,17.0,"15,41,71,17,35,51,14,26,46,64,82,37,3,28,44",4.0,False,True,True,True
,GZBD,,,,,,,,,2025-11-27,97.0,"20,60,79,23,2,89,69,6,8,35",,False,False,False,False
,GALI,,,,,,,,,2025-11-27,39.0,"14,35,72,7,28,85,32,42,40,54",,False,False,False,False
,DSWR,,,,,,,,,2025-11-27,57.0,"8,37,67,68,51,54,45,25,29,89,48,0,7,11,69",,False,False,False,False
,FRBD,,,,,,,,,2025-11-28,98.0,"15,41,71,17,35,51,14,26,46,64,82,37,3,28,44",,False,False,False,False
,GZBD,,,,,,,,,2025-11-28,6.0,"20,60,79,23,2,89,69,6,8,35",8.0,False,False,True,True
,GALI,,,,,,,,,2025-11-28,1.0,"14,35,72,7,28,85,32,42,40,39",,False,False,False,False
,DSWR,,,,,,,,,2025-11-28,8.0,"8,37,68,51,67,54,45,25,29,89,48,0,7,11,69",1.0,True,True,True,True
